BOGOTA D.C.;BOGOTA D.C.;COLEGIO ALVARO CAMARGO DE LA TORRE;KR 12 BIS 31 45 SUR;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL DANILO CIFUENTES                                                                                ;CL 29 SUR 10 34;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;EL PORTAL FUNDACION     ;IND AV. 13 NO.62-40 SUR (VIA USME);MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;INGLES;FUNDACION O CORPORACIONES;A
BOGOTA D.C.;BOGOTA D.C.;NUEVO LIC SANTA CLARA;KR 10 49 F 90 SUR;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;INST VILLA DE LA FRATERNIDAD                                                                        ;KR 11 A 32 A 24 SUR;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMN SANTIAGO APOSTOL                                                                               ;KR 23 42 54 SUR;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL PARROQ DEL INMACULADO CORAZON DE MARIA                                                          ;CL 44 SUR 28 61;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL COLOMBO ESPANOL                                                                                 ;TV 2 A 48 J 78;MIXTO;PREESCOLAR  BASICA PRIMARIA;MANANA COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;FUNDACION COLEGIO PRINCIPIO DE SABIDURIA;IND CL 36 SUR 29 38;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC JORGE ROBLEDO                                                                                   ;CL 49 A SUR 5 Z 43;MIXTO;PREESCOLAR  BASICA SECUNDARIA  BASICA PRIMARIA;MANANA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL CRISTIANO LA REFORMA MIS CORDERITOS                                                             ;CLL. 36 NO.30-48 SUR;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;INGLES;COMUNIDAD RELIGIOSA;A
BOGOTA D.C.;BOGOTA D.C.;COL NSTRA SRA DE LA SABIDURIA                                                                       ;CL 22 SUR 11 B 51;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;COMUNIDAD RELIGIOSA;A
BOGOTA D.C.;BOGOTA D.C.;CENT DE EDUC FORMAL ROBERT HOOKE                                                                    ;KR 19 44 55 SUR;MIXTO;MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;MANANA FIN DE SEMANA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC JULIO CESAR GARCIA                                                                              ;CL 12 3 50;MIXTO;MEDIA  BASICA SECUNDARIA;COMPLETA;INGLES;FEDERACIONES;A
BOGOTA D.C.;BOGOTA D.C.;HOG DE LA NINA VERACRUZ                                                                             ;CL 15 3 49;FEMENINO;PREESCOLAR  BASICA PRIMARIA;MANANA COMPLETA;INGLES;COMUNIDAD RELIGIOSA;A
BOGOTA D.C.;BOGOTA D.C.;GIMNASIO MODERNO ALEXANDER SUTHERLAND;CL 4 53 B 31;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMN MI BELLA INFANCIA                                                                              ;KR 54 4 45;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMN INF JULIO SIMON BENAVIDES                                                                      ;CL 36 SUR 51 D 47;MIXTO;PREESCOLAR  BASICA PRIMARIA;MANANA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC NUEVO CHILE                                                                                     ;AV. 68 NO.15-16 SUR;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL LOPE DE VEGA                                                                                    ;DG. 5ANO.39-30;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL BLAISE PASCAL                                                                                   ;CL 27 SUR 39 B 09;MIXTO;PREESCOLAR  BASICA PRIMARIA;MANANA;;PERSONA NATURAL;A
